RU;10;334;TransparentCalls;0.68;213;46;6
US;83;711;E-Voice;0.87;593;62;17
GB;94;746;TransparentCalls;0.77;766;84;42
FR;46;837;TransparentCalls;0.83;675;87;53
BL;90;338;E-Voice;0.90;868;28;16
AT;54;221;TransparentCalls;0.97;567;26;51
BG;50;36;E-Voice;0.72;646;55;6
DK;7;407;JustPhone;0.72;721;25;58
CA;81;1491;JustPhone;0.86;392;47;7
ES;37;1926;E-Voice;0.96;166;54;34
CH;70;254;JustPhone;0.89;799;68;55
TR;27;1595;TransparentCalls;0.75;344;81;32
PE;51;1529;JustPhone;0.96;679;64;7
NZ;60;788;JustPhone;0.72;633;76;31
MC;1;339;E-Voice;0.73;729;7;37
